ID do pedido,Status do Pedido,ID do pagamento,Horário do pedido,Tempo de Conclusão,Tempo dos Cliques,Nome da loja,ID da loja,Tipo da Loja,ID do item,Nome do Item,Modelo de ID,Tipo de Produto,ID da promoção,Categoria Global L1,Categoria Global L2,Categoria Global L3,Preço(R$),Qtd,Offer Type,Parceiro de campanha,Valor de Compra(R$),Valor do Reembolso(R$),Taxa de comissão Shopee do item,Comissão do Item da Shopee(R$),Taxa de comissão do vendedor do item,Comissão do Item da Marca(R$),Comissão total do item(R$),Comissão Shopee(R$),Comissão do vendedor(R$),Comissão total do pedido(R$),RM vinculada,ID de contrato da RM,Taxa do Fee de gestão da RM,Fee de Gestão da RM(R$),Taxa de contrato do afiliado,Comissão líquida do afiliado(R$),Status do item do afiliado,Notas do item,Tipo de atribuição,Status do Comprador,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Canal
260527F1RM2HCW,Concluído,233517296170860,2026-05-26 14:54:57,2026-05-29 13:47:03,2026-05-26 14:51:58,Comércio de materiais de construção,573581353,Preferred(Non-CB),19199888248,Kit 2 Lâmpada Secagem 220v Infravermelho Aquecimento Salgado Estufa Granja Pintinho Chocadeira Calor,238792088390,Normal Product,,Casa e Decoração,Iluminação,,46.25,1,Shopee Comm,,45.26,,3.00%,1.3578,0.00%,0,1.3578,1.3578,0,1.3578,,0,0.00%,0,100.00%,1.3578,Concluído,,Pedido em loja diferente,Existente,,,,,,Others
260526E3WU5YS0,Concluído,233485259140506,2026-05-26 06:00:59,2026-05-29 13:48:18,2026-05-25 13:33:17,FastStar,1366016602,C2C(Non-CB),23194215980,Kit de Pincel Rolo de Pintura Easy Glide de 6 Polegadas para Pintura de Paredes + 72 cm cabo,219609437560,Normal Product,,Casa e Decoração,Ferramentas e Melhorias para a Casa,Tintas e Revestimentos para Paredes,38.79,1,XTRA Comm,,38.79,,3.00%,1.1637,6.00%,0,1.1637,1.1637,0,1.1637,,0,0.00%,0,100.00%,1.1637,Concluído,,Pedido em loja diferente,Existente,,,,,,Websites
260525APH5S0J0,Pendente,233367796198513,2026-05-24 21:23:17,,2026-05-24 21:20:59,Western Racoes Agro e Pesca,1007383170,Preferred(Non-CB),22994039443,Calcário Calcitico Cinza - Cálcio para Galinhas - Fortalicimento Ovos e 0ss0s,209175172155,Normal Product,,Animais Domésticos,Bem-Estar dos Animais Domésticos,Vitaminas e Suplementos,12.6,1,XTRA Comm,,12.6,,3.00%,0.378,6.00%,0.756,1.134,0.378,0.756,1.134,,0,0.00%,0,100.00%,1.134,Pendente,"O status do item está pendente, comissões só vão ser pagas quando for concluído",Pedido na mesma loja,Existente,,,,,,Others
260525AGKV0124,Concluído,233361444146593,2026-05-24 19:37:23,2026-05-28 13:17:04,2026-05-23 19:52:35,jeffralda.br,1209188883,C2C(CB),42801918752,10 Bebedouro Automático Para Aves Galinhas - Copo De Água Cor Vermelho,253447934027,Normal Product,,Animais Domésticos,Acessórios para Animais de Estimação,Tigelas e Alimentadores,26.99,1,XTRA Comm,,26.99,,3.00%,0.8097,6.00%,0,0.8097,0.8097,0,0.8097,,0,0.00%,0,100.00%,0.8097,Concluído,,Pedido em loja diferente,Existente,,,,,,Others
2605224MKJVC1D,Concluído,233159571123487,2026-05-22 11:32:51,2026-05-26 16:14:19,2026-05-19 22:24:18,chocar,1654013119,C2C(Non-CB),22194573124,Chocadeira Automática 70 Ovos de Galinha + Ovoscópio,239430652625,Normal Product,,Animais Domésticos,Outros,,299,1,Shopee Comm,,299,,3.00%,8.97,0.00%,0,8.97,8.97,0,8.97,,0,0.00%,0,100.00%,8.97,Concluído,,Pedido em loja diferente,Existente,,,,,,Websites
260516GGKBCD8X,Concluído,232567585157021,2026-05-15 15:06:26,2026-05-24 14:10:25,2026-05-15 15:03:32,chocar,1654013119,C2C(Non-CB),58201439895,Chocadeira Automática 36 Ovos de Galinha + Ovoscópio,159550669056,Normal Product,,Animais Domésticos,Outros,,259,1,Shopee Comm,,259,,3.00%,7.77,0.00%,0,7.77,7.77,0,7.77,,0,0.00%,0,100.00%,7.77,Concluído,,Pedido em loja diferente,Existente,,,,,,Websites
260515FM9R3RF4,Concluído,232537198191353,2026-05-15 06:39:58,2026-05-19 12:15:47,2026-05-12 06:39:22,ticatacshop10,1773660333,C2C(Non-CB),58256892522,Timer Digital Bivolt Temporizador Programavel Automatico,179414528165,Normal Product,,Eletrodomésticos,Peças e Circuitos Elétricos,Tomadas Elétricas e Extensões,37,1,Shopee Comm,,37,,3.00%,1.11,0.00%,0,1.11,1.11,0,1.11,,0,0.00%,0,100.00%,1.11,Concluído,,Pedido em loja diferente,Existente,,,,,,Others
260515FM9R3RF2,Concluído,232537198191353,2026-05-15 06:39:58,2026-05-19 12:15:38,2026-05-12 06:39:22,Kbana Magazine,1047281060,C2C(Non-CB),22593923694,Kit aquecimento chocadeira incubadora criadeira nascedouro resistencia  conector ganchinhos 110v ou 220v,109727743771,Normal Product,,Animais Domésticos,Acessórios para Animais de Estimação,Outros,22.99,1,Shopee Comm,,22.99,,3.00%,0.6897,0.00%,0,0.6897,0.6897,0,0.6897,,0,0.00%,0,100.00%,0.6897,Concluído,,Pedido em loja diferente,Existente,,,,,,Others
260427UP3FGH6M,Concluído,230951452185437,2026-04-26 22:10:52,2026-05-09 11:01:03,2026-04-26 20:47:19,Chocadeiras_Golden,404650265,C2C(Non-CB),19475739075,Kit Virador Rolete Grande + 4 Tubos Extra,179399465092,Normal Product,,Casa e Decoração,Artigos de Cozinha,Outros,120,1,Shopee Comm,,120,,3.00%,3.6,0.00%,0,3.6,3.6,0,3.6,,0,0.00%,0,100.00%,3.6,Concluído,,Pedido em loja diferente,Existente,,,,,,Websites
260422EQ7NRXP6,Cancelado,230505990118980,2026-04-21 18:26:30,--,2026-04-21 18:13:28,Mage Tech Shop,872424585,Preferred(Non-CB),58202221593,100000 / 100 Mil Bolinha De Gel 7mm Cresce Na Aágua Para Arminha Orbeez,129654155972,Normal Product,,Esportes e Atividades ao Ar Livre,Acessórios Esportivos e Atividades ao Ar Livre,Outros,28.99,1,XTRA Comm,,28.99,,3.00%,0,4.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Cancelado,Pedido inválido,Pedido em loja diferente,Existente,,,,,,Others
260422EQ7NRXP5,Cancelado,230505990118980,2026-04-21 18:26:30,--,2026-04-21 18:13:28,bighi.br,1489642640,Preferred(CB),53958872300,Lançador Elétrico de Bolinhas de Gel Recarregável para Esporte e Lazer com 2000 Bolinhas,287539620544,Normal Product,,Esportes e Atividades ao Ar Livre,Equipamentos Esportivos e Recreação ao Ar Livre,Outros,62.99,1,XTRA Comm,,62.99,,3.00%,0,7.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Cancelado,Pedido inválido,Pedido em loja diferente,Existente,,,,,,Others
260422EQ7NRXP4,Cancelado,230505990118980,2026-04-21 18:26:30,--,2026-04-21 18:13:28,Duda Shopping,322849824,C2C(Non-CB),21398325633,Cama Infantil Montessoriana Carro Batman Menino Quarto Temático Solteiro Divertido e Seguro,159549502052,Normal Product,,Casa e Decoração,Móveis,"Estruturas de Cama, Cabeceiras e Colchões",244.8,1,XTRA Comm,,244.8,,3.00%,0,1.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Cancelado,Pedido inválido,Pedido na mesma loja,Existente,,,,,,Others
260422EH5XW82R,Concluído,230499490139065,2026-04-21 16:38:10,2026-05-02 16:57:57,2026-04-16 15:09:43,TTcomercio,733998429,Preferred(Non-CB),22293108649,Visao Noturna Prova d'Água car re parking câmera,219163655755,Normal Product,,Peças e Acessórios para Veículos,Ferramentas Veiculares,Medição,19.99,2,Shopee Comm,,39.98,,3.00%,1.1994,0.00%,0,1.1994,1.1994,0,1.1994,,0,0.00%,0,100.00%,1.1994,Concluído,,Pedido em loja diferente,Existente,,,,,,Websites
2604172287CV77,Cancelado,230071143156925,2026-04-16 17:39:04,--,2026-04-16 17:32:50,Panda.Store,302395158,C2C(Non-CB),20775165135,Controlador Temperatura Digital Termostato 110 / 220 Volts.,69270770833,Normal Product,,Eletrodomésticos,Peças e Circuitos Elétricos,Outros,21.9,0,XTRA Comm,,0,21.9,3.00%,0,3.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Cancelado,Pedido cancelado pelo comprador.,Pedido na mesma loja,Existente,,,,,,Others
260404UFN552EP,Concluído,228944529112833,2026-04-03 16:42:09,2026-04-24 20:02:08,2026-03-29 08:40:47,case2023.br,1053063410,C2C(CB),24186165050,Moda Macio Preto Caso De Telefone Para Samsung Galaxy A52 A52S A23 5G A13 4G A33 A53 A72 A73 A32 palmeiras Capa,185399858631,Normal Product,,Celulares e Dispositivos,Acessórios,Capas,11.93,1,XTRA Comm,,11.85,,3.00%,0.3555,6.00%,0,0.3555,0.3555,0,0.3555,,0,0.00%,0,100.00%,0.3555,Concluído,,Pedido em loja diferente,Existente,,,,,,Websites
260329EG2VETVH,Cancelado,228498313165239,2026-03-29 12:45:14,--,2026-03-29 12:39:03,Choice Oficial,1006215031,Preferred(CB),27155983061,100Pcs Simulação De Iscas Macias De Pesca Sem-Fim Artificiais Em Silicone Para A Água Doce De Salgada,251243695426,Normal Product,,Esportes e Atividades ao Ar Livre,Equipamentos Esportivos e Recreação ao Ar Livre,Pescaria,15.24,0,XTRA Comm,,0,15.19,3.00%,0,8.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Cancelado,Pedido cancelado pelo comprador.,Pedido em loja diferente,Existente,,,,,,Others
